farm_id,cycle_id,cumulative_stress,peak_stress,low_do_days,high_pathogen_days,management_quality,stocking_intensity,survival_rate,growth_index,harvest_health,severe_event
FARM_01,FARM_01_C001,0.2966033185080453,0.8244830924546261,40,12,0.35,1.15,0.6883988845384009,0.7533420594863559,0.7130772910186238,1
FARM_01,FARM_01_C002,0.28143270142389015,0.7386317881668321,34,12,0.35,1.15,0.6770285692878752,0.83103667244101,0.7355516484860665,1
FARM_01,FARM_01_C003,0.28830039060145035,0.7334884435855928,37,7,0.35,1.15,0.7453320852133912,0.788666178018867,0.761799040479472,1
FARM_01,FARM_01_C004,0.2748550817830344,0.7859817454126575,28,6,0.35,1.15,0.6604066185776725,0.8097995859761693,0.7171759461891012,1
FARM_01,FARM_01_C005,0.26328406699253243,0.7345388926543452,22,8,0.35,1.15,0.6775607010406077,0.7570757919515355,0.7077764355867603,1
FARM_01,FARM_01_C006,0.2686336017108853,0.721091784664219,26,8,0.35,1.15,0.7080738184292293,0.7889329620335325,0.7388002929988645,1
FARM_01,FARM_01_C007,0.2670906632780053,0.8222155686277336,24,8,0.35,1.15,0.6319181393864226,0.8189777394495277,0.7030007874104025,1
FARM_01,FARM_01_C008,0.2516247728530987,0.8281990753374558,20,8,0.35,1.15,0.7427108949586267,0.821872260416321,0.7727922138325506,1
FARM_01,FARM_01_C009,0.23391052176120672,0.6613306221835669,14,7,0.35,1.15,0.6884510898050499,0.7949884031690208,0.7289352688833588,1
FARM_01,FARM_01_C010,0.2590992702198569,0.717200121802637,18,7,0.35,1.15,0.6777906671560309,0.8236911676908786,0.733232857359273,1
FARM_01,FARM_01_C011,0.2411253027053708,0.7293109494143959,14,8,0.35,1.15,0.692039172804341,0.8456779526620559,0.7504219091502726,1
FARM_01,FARM_01_C012,0.22052831184882957,0.6249693954438237,7,4,0.35,1.15,0.7484334775687618,0.8465555656928109,0.7857198710559004,1
FARM_01,FARM_01_C013,0.2416606550642207,0.6878668246862664,13,8,0.35,1.15,0.7433501664773454,0.8209965207170393,0.7728557810884291,1
FARM_01,FARM_01_C014,0.23400078935771929,0.6911870861954357,16,5,0.35,1.15,0.7546552301631891,0.8436681922342091,0.7884801557501767,0
FARM_01,FARM_01_C015,0.23181068808524638,0.7087750164744597,15,5,0.35,1.15,0.7111743775047692,0.8291612026882687,0.7560093710744991,1
FARM_01,FARM_01_C016,0.22961192914582906,0.6449652868524512,18,7,0.35,1.15,0.7137319281820202,0.8498183806216661,0.7654447801090858,1
FARM_01,FARM_01_C017,0.240194656978864,0.7967497486750531,18,11,0.35,1.15,0.6835454804058941,0.844832496418424,0.7448345464906554,1
FARM_01,FARM_01_C018,0.23212927680095358,0.6296771249825434,25,5,0.35,1.15,0.7409501668053992,0.7987424614513623,0.7629112387708652,1
FARM_01,FARM_01_C019,0.27159570003004935,0.7530283823332959,33,11,0.35,1.15,0.6793760384561083,0.8188968754141963,0.7323939565001818,1
FARM_01,FARM_01_C020,0.27653796221863264,0.7363983038202567,32,11,0.35,1.15,0.7818296028550692,0.8070920272454781,0.7914293241234246,0
FARM_01,FARM_01_C021,0.2627322546711253,0.7985684540868179,27,2,0.35,1.15,0.6265220785991357,0.7912689172898704,0.6891258773016149,1
